run_id,R_a,R_b,R_c,DG1_PWM1,DG1_PWM2,DG1_PWM3,DG1_PWM4,DG1_PWM5,DG1_PWM6,DG2_PWM1,DG2_PWM2,DG2_PWM3,DG2_PWM4,DG2_PWM5,DG2_PWM6,V1_a,V1_b,V1_c,I1_a,I1_b,I1_c,V2_a,V2_b,V2_c,I2_a,I2_b,I2_c,I1mean_a,I1mean_b,I1mean_c,I2mean_a,I2mean_b,I2mean_c,V1f_a,V1f_b,V1f_c,I1f_a,I1f_b,I1f_c,V2f_a,V2f_b,V2f_c,I2f_a,I2f_b,I2f_c,V1ang_a,V1ang_b,V1ang_c,I1ang_a,I1ang_b,I1ang_c,V2ang_a,V2ang_b,V2ang_c,I2ang_a,I2ang_b,I2ang_c
1,64,24,32,1,1,1,1,1,1,1,1,1,1,1,1,264.9421817,224.8792169,203.9046686,2.636240563,5.687638925,3.873884754,265.3240002,225.7007141,204.3440941,3.162767569,5.085744778,3.821537727,0.00799356498,-0.0193024597,0.01109095449,-0.008047937636,0.01776044265,-0.009939696489,264.9289836,224.8867391,203.9116844,2.635476067,5.687516144,3.873577473,265.3107934,225.7082952,204.3511005,3.162091821,5.085586742,3.821177445,0,-108.4535169,115.6007541,1.305899333,-108.8513916,108.9686105,0.04024181114,-108.3781977,115.7033537,-1.188963263,-108.3198915,122.1249918
2,64,24,32,1,1,1,1,1,1,0,1,1,1,1,1,264.8371036,224.6385078,204.3933837,5.741087671,10.0629107,5.182862781,265.6951618,224.0765019,205.780553,3.952227852,8.349291721,8.967158166,1.429318487,-6.453149356,5.023613138,-1.421545693,6.486325606,-5.064999816,264.8233371,224.6453734,204.3983358,5.417959099,7.631412457,0.7965258744,265.6804624,224.0718541,205.7734745,3.469339542,5.123241092,7.331881316,0,-108.2240634,115.8626748,35.65535705,-134.3614547,53.74160996,-0.274652363,-107.9976164,116.2941729,-66.25058515,-67.58220768,121.4039908
3,64,24,32,1,1,1,1,1,1,1,0,1,1,1,1,264.8398214,224.6412094,204.3910989,5.745484904,10.04312665,5.158326304,265.6967005,224.0757086,205.7780739,3.94917055,8.329500815,8.955433427,-1.422793243,6.425267565,-5.00270577,1.415041002,-6.461157193,5.045887489,264.8260483,224.6480945,204.3960987,5.424269272,7.629640349,0.7888911545,265.6819771,224.0711097,205.7711093,3.468401219,5.127517206,7.334244039,0,-108.2252031,115.8619924,35.6305642,-134.3915286,53.77656536,-0.2753913018,-107.9988192,116.2934046,-66.35999876,-67.58510238,121.3468037
4,64,24,32,1,1,1,1,1,1,1,1,0,1,1,1,265.7613411,224.6506338,203.233754,6.756067603,9.570685323,10.84438007,267.5247921,225.4704852,201.925871,9.881627816,4.109682798,9.296834311,6.336829268,1.617759773,-7.954797534,-6.376936333,-1.606520916,7.983247741,265.7451172,224.6570809,203.2401046,1.607004162,9.307405986,7.18280983,267.4912569,225.4750338,201.9138779,7.35254128,3.455597117,4.470619613,0,-108.6041086,115.6547407,159.7498136,-90.90337527,80.48035068,0.2916021093,-108.9979367,115.8773445,-4.292442951,-165.1913267,-177.0413694
5,64,24,32,1,1,1,1,1,1,1,1,1,0,1,1,265.7638403,224.6469085,203.2314736,6.769129136,9.56761266,10.85801052,267.5256489,225.4686172,201.926013,9.887322264,4.113613213,9.311503149,-6.354553805,-1.624930541,7.979262118,6.394490212,1.610921514,-8.00563897,265.7476343,224.6533499,203.2378157,1.601248442,9.303703819,7.179263413,267.4921843,225.4733604,201.9141839,7.346886791,3.45880485,4.462599837,0,-108.6040148,115.6565831,159.7283777,-90.88848225,80.5412125,0.2914404775,-108.9974548,115.8786013,-4.284634949,-165.1447845,-177.0630773
6,64,24,32,1,1,1,1,1,1,1,1,1,1,0,1,264.585883,225.3324503,203.9097516,8.27987227,5.979981244,6.823584138,263.6056742,227.5631978,204.5837519,7.731389772,9.9153329,3.427576525,-6.568522001,5.075117946,1.493190016,6.593355831,-5.121450563,-1.472125525,264.5722373,225.3386568,203.9153238,4.946448459,2.931087075,6.537007876,263.5809545,227.5594022,204.5889146,3.919268033,8.407972624,2.823308038,0,-108.5847347,115.3035005,-42.00904454,-78.50412888,136.2053186,0.1805793162,-108.3659024,114.9792235,57.58967998,-118.7405319,58.47502734
7,64,24,32,1,1,1,1,1,1,1,1,1,1,1,0,264.5820893,225.326292,203.9175821,8.246019613,5.955506817,6.825022727,263.6081403,227.5610409,204.5877502,7.712694686,9.901939886,3.424812756,6.536163366,-5.042573259,-1.493814457,-6.561036186,5.086117844,1.47469148,264.5684463,225.3325069,203.9231487,4.929178698,2.939315254,6.536852347,263.5835293,227.5573494,204.592922,3.932339833,8.412672949,2.816197953,0,-108.5810363,115.3070872,-42.19622178,-78.16464769,136.1436992,0.1819145177,-108.3636243,114.9832441,57.30300249,-118.8629939,58.51818393
8,64,24,32,0,1,1,1,1,1,1,1,1,1,1,1,265.3840975,223.3454226,205.1373422,3.788780829,8.166523218,8.685019142,265.1767978,225.5411721,204.784751,5.791942408,9.490519751,4.836459721,-1.368690479,6.178289589,-4.809831412,1.369144369,-6.10602875,4.736653813,265.3694973,223.3435858,205.1299313,3.317495913,5.210287417,7.182788262,265.1633245,225.5483669,204.7891102,5.495757097,7.172335227,0.5169145492,0,-107.8492075,116.5458912,-67.91630759,-72.23031358,117.2970577,0.3319711315,-107.8858142,116.3096503,34.07693579,-133.1247927,102.606315
9,64,24,32,0,1,1,1,1,1,0,1,1,1,1,1,294.4198744,335.1872663,304.8331507,19.48146449,21.90768659,24.82184855,295.8088514,336.2554082,305.6215869,19.48434472,18.67691025,23.34490705,-1.152506931,11.7495485,-10.60135483,-2.728301083,-3.053498422,5.777589919,199.5986206,263.6982983,248.3245266,2.476047306,6.943120263,5.488372775,200.5510782,265.6911801,249.830623,3.284800686,8.442534553,6.986657052,0,-105.0089226,98.4485535,48.00760447,-66.40897698,146.5148151,-0.06624478116,-105.1678337,98.34057063,-34.21160607,-136.2081192,62.47039182
10,64,24,32,0,1,1,1,1,1,1,0,1,1,1,1,266.9115801,220.6316232,206.4127565,5.915660062,33.32341347,28.61827913,267.2027539,221.4754571,206.97202,5.906332338,33.18322157,28.54725709,-4.012817064,31.05477645,-27.04211876,3.999796468,-30.95325036,26.95332266,266.8014614,220.528614,206.2558156,2.916501107,5.384321788,3.793974003,267.0935531,221.3478251,206.814626,2.920019935,5.186340714,3.949967513,0,-106.9853245,118.2825329,0.1795849993,-109.1244394,115.1448153,0.02564556318,-106.8811545,118.3734654,-0.3023626331,-105.0457708,121.0994732
11,64,24,32,0,1,1,1,1,1,1,1,0,1,1,1,261.886197,224.2262119,209.9627632,24.83865482,54.86032667,56.93458125,267.8839605,222.734204,204.8425509,28.02930377,52.19524368,56.14661953,1.140290376,36.68539555,-37.82585773,-1.226751204,-36.27691235,37.50347732,261.5736863,222.9249385,208.2750787,12.02955587,16.75507951,14.53217177,267.3559905,222.6711807,204.3454285,17.51756226,7.690574598,13.85531661,0,-106.5594893,116.739026,158.613542,-86.79201231,47.43890445,0.6822874234,-107.7407091,117.7883181,-14.4149072,122.0551194,-164.1081197
12,64,24,32,0,1,1,1,1,1,1,1,1,0,1,1,266.03885,224.2753687,203.3499737,10.9916506,9.711564039,13.63923874,267.8829639,224.9781824,202.1439379,13.11235699,4.003880153,12.59946992,-8.027416063,-1.637119411,9.664306806,8.077624086,1.637067833,-9.714927944,266.0118608,224.2778951,203.3498749,1.575098666,9.401685305,7.031027051,267.7946904,224.9756288,202.0755503,7.224858065,3.172036875,4.580414652,0,-108.501993,115.8959234,148.919332,-92.37449855,79.58229736,0.2653422932,-108.8946752,116.1396385,-6.42299,-165.7082087,-179.0964069
13,64,24,32,0,1,1,1,1,1,1,1,1,1,0,1,264.5572841,225.2025291,204.0894322,8.668482311,6.606935898,7.028773124,263.5587122,227.5289626,204.6698827,8.266364317,10.333452,3.180797596,-6.835494018,5.508773637,1.326496952,6.861437596,-5.550916509,-1.310750085,264.5429294,225.2086154,204.0944799,4.974370251,3.052300224,6.801159142,263.5315814,227.522922,204.6744528,4.191703649,8.48218847,2.644253528,0,-108.5084314,115.3897539,-45.14901338,-73.78912081,135.1111558,0.2056677186,-108.3071311,115.0424427,57.26218673,-120.4320568,53.72841783
14,64,24,32,0,1,1,1,1,1,1,1,1,1,1,0,265.132187,223.3818614,205.4253999,3.817955687,8.672062318,9.348635209,264.9005598,225.6645299,205.0104411,5.932634417,9.988733368,5.633898487,-1.119254757,6.745174844,-5.626137648,1.118148548,-6.660358412,5.541995824,265.1178624,223.377109,205.4130507,3.453244452,5.28637592,7.40240134,264.8870599,225.6712019,205.0144625,5.705512777,7.325640437,0.3187317282,0,-107.7680428,116.5456991,-71.07765907,-69.87143985,117.2880983,0.3529366257,-107.8147327,116.2903462,35.00071185,-134.3256599,93.0005706
15,64,24,32,1,0,1,1,1,1,1,1,1,1,1,1,265.3838123,223.3514797,205.1314669,3.79424127,8.130915927,8.651596567,265.1749874,225.5443364,204.7829828,5.785992015,9.463835874,4.787659978,1.378287006,-6.140373112,4.761863542,-1.378755759,6.065823795,-4.687303054,265.3692236,223.3497431,205.1243,3.317467735,5.20388717,7.176652948,265.161539,225.55155,204.7873571,5.485699202,7.172115659,0.5246296135,0,-107.852029,116.5422176,-67.73955754,-72.27765159,117.353321,0.3308404514,-107.8879023,116.3060839,34.09835702,-133.0661748,101.9772
16,64,24,32,1,0,1,1,1,1,0,1,1,1,1,1,266.9019562,220.6304781,206.4240528,5.915888745,33.40723631,28.70221294,267.194154,221.4705296,206.9833729,5.909226014,33.26351025,28.63152039,4.010415764,-31.12500768,27.11442275,-3.99746927,31.02140408,-27.02412297,266.7907547,220.5253025,206.265882,2.913827838,5.395472346,3.792868758,267.0851781,221.3429784,206.825381,2.922555809,5.175260373,3.952421742,0,-106.9810768,118.2847785,0.3185964928,-109.1489414,115.0094256,0.02579363185,-106.8764927,118.3769687,-0.440303961,-105.0025152,121.2318567
17,64,24,32,1,0,1,1,1,1,1,0,1,1,1,1,292.9741055,335.0404057,304.0479618,18.89853575,23.68426629,26.16790944,294.845227,336.2782353,304.9772735,19.17981776,21.42516992,25.40224717,0.4296456225,-7.108302393,6.680047477,3.421060466,-1.496580745,-1.923125085,198.8395537,265.0935322,248.7123828,2.47547617,7.981822163,4.165180746,200.1179174,266.4186489,249.7680749,4.062872353,4.973554909,5.19380293,0,-105.4940692,97.53985411,66.37588371,-96.86895067,92.43714945,-0.05203518624,-105.5580977,97.66245818,-34.03136338,-119.9135082,101.4699426
18,64,24,32,1,0,1,1,1,1,1,1,0,1,1,1,265.9454445,224.4562819,203.2265443,7.646212291,9.662310342,11.45587115,267.75398,225.24819,201.888446,10.55757291,4.018681558,10.00199569,7.064210432,1.487757433,-8.552187003,-7.108302329,-1.481252418,8.589329903,265.9284603,224.4626278,203.2319165,1.690608436,9.424680348,7.255884167,267.7131082,225.2526727,201.8689515,7.429058043,3.407168619,4.566609877,0,-108.5722017,115.7697691,158.7509739,-90.96030515,79.94751626,0.2924724491,-108.977821,116.0001155,-4.684593946,-167.132172,-176.2485589
19,64,24,32,1,0,1,1,1,1,1,1,1,0,1,1,261.4015001,224.2680052,210.5397134,26.61469522,58.71068034,60.86407618,267.7378228,222.3450425,204.8131089,29.74763168,55.94612826,60.02837018,-1.121346771,-39.07983444,40.20090048,1.215314526,38.64167405,-39.85726789,261.0368921,222.7804452,208.6293159,12.79755139,17.79553727,15.4625049,267.1435562,222.2759319,204.2441719,18.24498577,8.53098724,14.75029291,0,-106.3928679,116.7863848,157.6423815,-87.35652271,46.80710554,0.7246478703,-107.6724564,117.9126703,-15.38359758,117.4969718,-162.8025946
20,64,24,32,1,0,1,1,1,1,1,1,1,1,0,1,265.132411,223.3750049,205.4300914,3.81645482,8.671440107,9.361858256,264.9044038,225.6662547,205.0118521,5.95152863,10.02521206,5.657613634,1.100876051,-6.740722825,5.639653035,-1.099905205,6.652791892,-5.553079121,265.1180487,223.3700266,205.4174539,3.453411323,5.281733348,7.400932153,264.8908818,225.672907,205.015787,5.726257753,7.373098947,0.3332401721,0,-107.7656993,116.5488978,-71.43418177,-69.32121021,117.5172817,0.3548533576,-107.8135051,116.2929752,34.94263737,-134.4591266,88.54373254
21,64,24,32,1,0,1,1,1,1,1,1,1,1,1,0,262.7248788,225.2367599,206.7259913,45.32072151,46.84147033,21.47013821,263.7945016,229.8838022,202.992553,46.35641411,46.88571192,16.62589655,31.26454443,-30.45888652,-0.8065346185,-31.37125891,30.51560971,0.8547148286,262.6438574,225.0199664,206.3477161,8.050509245,12.69226653,15.49718293,262.7763538,228.9003521,202.7385868,12.04623072,11.88086459,7.911960386,0,-107.7613654,115.5277717,-120.5402126,-48.06775107,108.1668303,0.9460378098,-108.5671109,114.7537194,35.31168958,-175.8570691,-78.54071722
22,64,24,32,1,1,0,1,1,1,1,1,1,1,1,1,267.4500485,224.5672618,201.2405356,9.995617624,4.335619109,9.662328801,266.2944429,225.5144294,203.4822846,7.162552048,9.39165454,10.97814887,-6.784628847,-1.776672528,8.56111087,6.72337528,1.764564546,-8.488141812,267.4104785,224.5712566,201.2277166,7.046299912,3.582813591,4.070655764,266.2768178,225.5212327,203.4886342,1.384689769,9.074445121,6.707583559,0,-109.2653192,115.6216636,-6.225269114,-162.5203449,177.596376,-0.2050372992,-108.6956469,115.5639401,147.3463162,-90.8126043,83.08353508
23,64,24,32,1,1,0,1,1,1,0,1,1,1,1,1,267.8023996,221.7580448,203.8983918,30.8313823,58.55120037,62.65404831,261.8213863,225.7165253,210.8930226,27.68403302,60.88760808,63.11126967,-1.397792548,-40.43929871,41.83667171,1.314779005,40.6058737,-41.92108721,267.102724,221.6854852,203.3187135,18.53859957,8.893332137,14.82598981,261.3947512,224.0325797,208.8618826,13.09113866,18.07887535,15.39515913,0,-108.177562,117.3061485,-17.03179563,116.5065807,-163.653789,-0.662680106,-106.6706466,116.3041535,155.6848029,-87.73447888,45.7740417
24,64,24,32,1,1,0,1,1,1,1,0,1,1,1,1,267.6938399,224.293272,201.278307,10.73859068,4.237653393,10.37921383,266.4666577,225.2668659,203.5498435,8.054462378,9.490353574,11.59282402,-7.502229666,-1.635709822,9.13782727,7.435253698,1.616894256,-9.052268151,267.6438781,224.2966109,201.2565073,7.190310853,3.535848154,4.21316851,266.44745,225.2732703,203.5548878,1.535746049,9.205577484,6.780809924,0,-109.2133422,115.7868462,-6.695023782,-164.6466132,178.5670907,-0.2071379983,-108.6293323,115.7162403,147.6764582,-90.75963252,82.09565184
25,64,24,32,1,1,0,1,1,1,1,1,0,1,1,1,333.7075539,253.6452685,338.1971871,17.60245668,11.47549536,17.60674333,335.9150082,257.9843767,339.4610195,18.14492811,14.46442907,15.33742246,-13.52277467,0.3820945537,13.14049393,11.6816851,-6.937300306,-4.74432375,292.3051371,177.4039431,235.2336181,4.49773968,4.15245022,4.63151012,295.4047942,180.1075917,238.6785073,9.398823248,8.264999115,10.57487932,0,-93.01440264,142.0051055,117.8160123,-20.92954146,-119.5945093,0.1387695437,-92.9975947,142.1711203,-25.03113427,-121.6937078,116.3156772
