run_id,R_a,R_b,R_c,DG1_PWM1,DG1_PWM2,DG1_PWM3,DG1_PWM4,DG1_PWM5,DG1_PWM6,DG2_PWM1,DG2_PWM2,DG2_PWM3,DG2_PWM4,DG2_PWM5,DG2_PWM6,V1_a,V1_b,V1_c,I1_a,I1_b,I1_c,V2_a,V2_b,V2_c,I2_a,I2_b,I2_c,I1mean_a,I1mean_b,I1mean_c,I2mean_a,I2mean_b,I2mean_c,V1f_a,V1f_b,V1f_c,I1f_a,I1f_b,I1f_c,V2f_a,V2f_b,V2f_c,I2f_a,I2f_b,I2f_c,V1ang_a,V1ang_b,V1ang_c,I1ang_a,I1ang_b,I1ang_c,V2ang_a,V2ang_b,V2ang_c,I2ang_a,I2ang_b,I2ang_c,f1,f2,P1,P2,Q1,Q2,wall_s,ok
1,20,20,20,1,1,1,1,1,1,1,1,1,1,1,1,229.2041104,229.2085638,229.217599,6.459136351,6.459436526,6.467909612,230.2805589,230.2879641,230.2934566,6.437231139,6.436589824,6.428966059,0.007669087669,0.000400359483,-0.008069447077,-0.007684478797,-0.001272225247,0.008956703977,229.1974764,229.2109471,229.2209982,6.458815751,6.459341305,6.467855751,230.2738909,230.2903849,230.2968385,6.436912183,6.4365206,6.428894628,0,-119.9951546,119.9995067,-2.236226911,-122.1463028,117.8047051,0.1362209149,-119.8595557,120.1347789,1.921933103,-118.1584463,121.8847669,49.97779098,49.97779393,4448.197965,4434.549768,169.7780598,-135.1015927,31.8347351,1
2,20,20,20,1,1,1,1,1,1,0,1,1,1,1,1,228.8520407,228.8564121,230.0338365,11.10086073,12.89375228,8.147190836,229.7186283,228.2854527,233.0259567,4.668779935,12.30028914,13.40788712,2.18167312,-9.320337532,7.138664412,-2.154353408,9.380369256,-7.226015856,228.8443257,228.8577474,230.0335671,10.72081722,8.617853241,2.767535987,229.7085283,228.2579722,232.9957081,3.68593424,7.628081038,10.93988288,0,-119.6578421,120.1681888,14.30593975,-154.9540935,158.8354888,-0.3864983344,-119.2247375,120.5014751,-47.58045047,-79.15717431,111.0045974,49.97761857,49.97761867,4481.364938,4470.862141,160.0970952,-142.2142572,4.6223628,1
3,20,20,20,1,1,1,1,1,1,1,0,1,1,1,1,228.8551393,228.8505879,230.0329076,11.10031664,12.9079826,8.151994488,229.7227947,228.2794795,233.0260347,4.66965297,12.30066284,13.40995646,-2.182711094,9.328305763,-7.145594668,2.155397249,-9.389933737,7.234536483,228.8474194,228.8519169,230.0326375,10.72077738,8.631469356,2.759935702,229.7127207,228.2519813,232.9957156,3.688466221,7.619981722,10.93682579,0,-119.657713,120.1701751,14.32031846,-154.9228871,158.6089195,-0.3867444293,-119.2247292,120.5035117,-47.59749978,-79.06516481,111.0746823,49.97761834,49.97761749,4482.868548,4469.562785,160.4258404,-142.5122567,4.3703652,1
4,20,20,20,1,1,1,1,1,1,1,1,0,1,1,1,230.0273883,228.8599542,228.8556358,8.168457693,11.10631779,12.90692246,233.0269351,229.7263587,228.2855138,13.43244428,4.660194038,12.31896308,7.154240197,2.1745921,-9.328832301,-7.242236519,-2.14831155,9.39054806,230.0177147,228.8606442,228.8578502,2.761886964,10.72981011,8.621752097,232.9871116,229.7245237,228.2586355,10.95217468,3.682983005,7.639473528,0,-120.1681905,120.1669871,38.92604331,-105.8585934,84.7864579,0.3331501188,-120.5555976,120.601181,-9.186016937,-167.8670386,160.7195048,49.97761864,49.97761789,4482.450973,4469.907195,160.519616,-142.6997514,3.9956326,1
5,20,20,20,1,1,1,1,1,1,1,1,1,0,1,1,230.0271578,228.8564891,228.8566291,8.170689454,11.1099135,12.90484756,233.0289251,229.7206422,228.2867028,13.43388413,4.65557088,12.31949256,-7.154460957,-2.172306419,9.32676737,7.242554741,2.144220859,-9.386775613,230.0174349,228.8571703,228.8588414,2.76559471,10.73436324,8.620292885,232.9889634,229.7188608,228.2598613,10.95301506,3.67964993,7.64227333,0,-120.167369,120.1680888,39.01723556,-105.8642478,84.77124206,0.3326593805,-120.5552272,120.6027549,-9.215944106,-167.9230509,160.7144265,49.97762057,49.97761574,4481.582025,4470.849387,160.2134547,-142.4354437,4.3230087,1
6,20,20,20,1,1,1,1,1,1,1,1,1,1,0,1,228.8448241,230.0332923,228.8660349,12.87661998,8.122250213,11.10245386,228.2718992,233.0285169,229.7346651,12.27285952,13.39372771,4.66957482,-9.293673171,7.112103661,2.181569505,9.354466663,-7.201153363,-2.153313299,228.8376758,230.0320575,228.8677326,8.625709248,2.764092226,10.72380217,228.2360646,232.9975868,229.7340527,7.621626627,10.94025192,3.690150806,0,-120.1641452,119.6587651,-35.27109034,-81.55035082,133.9929965,0.4333032948,-119.830418,119.2715959,40.55645072,-129.3051992,72.01396598,49.97761993,49.97761857,4481.854827,4470.150115,159.8765115,-142.0492439,3.919578,1
7,20,20,20,1,1,1,1,1,1,1,1,1,1,1,0,228.8468563,230.0360588,228.8555785,12.92784853,8.198910743,11.10905575,228.2746235,233.0372964,229.7226917,12.34307746,13.4550439,4.658441765,9.355033244,-7.184337104,-2.170696144,-9.415963206,7.271728879,2.14423432,228.8397173,230.0348388,228.8572711,8.620937459,2.762296942,10.73320669,228.2382861,233.0057678,229.7220804,7.642273377,10.95704332,3.683274596,0,-120.1678532,119.6567338,-35.40407527,-81.12536945,133.9780847,0.4340857057,-119.8345775,119.268539,40.55814729,-129.3740809,71.89276665,49.9776181,49.97761661,4481.911773,4470.658608,160.4897713,-142.6541157,3.885126,1
8,20,20,20,0,1,1,1,1,1,1,1,1,1,1,1,228.4973392,227.4160615,231.8713545,4.694296674,11.8457782,13.05943274,229.8979388,229.9913918,231.0734142,11.07346138,12.00776025,7.901994411,-2.136429705,8.914058912,-6.777629207,2.139449702,-8.769487594,6.630037892,228.4876936,227.3931278,231.846233,3.772986661,7.540758015,10.84116758,229.8903013,229.9928289,231.0736538,10.71976463,7.959852813,3.41212973,0,-118.8636234,120.8010946,-48.48264491,-83.79605876,107.8096091,0.6343677478,-119.0396411,120.7753833,15.27308086,-152.2575155,165.0282281,49.97763416,49.97763603,4479.854919,4466.128593,163.144761,-143.8887235,3.9929628,1
9,20,20,20,0,1,1,1,1,1,0,1,1,1,1,1,244.8085386,366.7649392,297.9076879,19.86205282,24.27998794,26.26500689,247.5058632,368.4466992,299.6516588,19.98784739,20.28011152,24.54036827,-2.496521248,14.76078926,-12.26426801,-5.278041523,-2.176934397,7.45497592,165.8748087,274.3411705,256.3187884,4.420631067,7.408603234,7.683823844,167.6903797,277.1033479,258.6497118,6.011599559,11.06099279,9.78669952,0,-114.0413936,102.1868849,30.9291148,-72.65837038,141.3431423,-0.01240417261,-114.1518598,102.1212861,-22.49708745,-140.6294396,72.16957357,49.94964528,49.96881154,8054.795597,8266.128517,367.328036,-224.3289349,3.9378082,1
10,20,20,20,0,1,1,1,1,1,1,0,1,1,1,1,228.3111021,225.4114362,233.9493174,9.837840428,34.45072051,28.16419058,229.4712106,226.3881909,235.0798765,9.78942191,34.21275293,28.12979797,-6.459504341,31.91800904,-25.4585047,6.423625305,-31.76344501,25.33981971,228.197916,225.2841177,233.7995846,6.430038906,6.550639761,6.386768231,229.3492069,226.2449948,234.9200861,6.402788567,6.132826706,6.775360642,0,-117.9334405,121.6451517,0.03028402911,-121.0314449,118.5574422,0.1183123444,-117.806358,121.8046969,-0.3591631725,-114.9667034,124.2586184,49.97640741,49.97637083,4724.503277,4719.943651,209.7391409,-94.14173536,3.8546823,1
