run_id,R_a,R_b,R_c,DG1_PWM1,DG1_PWM2,DG1_PWM3,DG1_PWM4,DG1_PWM5,DG1_PWM6,DG2_PWM1,DG2_PWM2,DG2_PWM3,DG2_PWM4,DG2_PWM5,DG2_PWM6,V1_a,V1_b,V1_c,I1_a,I1_b,I1_c,V2_a,V2_b,V2_c,I2_a,I2_b,I2_c,I1mean_a,I1mean_b,I1mean_c,I2mean_a,I2mean_b,I2mean_c,V1f_a,V1f_b,V1f_c,I1f_a,I1f_b,I1f_c,V2f_a,V2f_b,V2f_c,I2f_a,I2f_b,I2f_c,V1ang_a,V1ang_b,V1ang_c,I1ang_a,I1ang_b,I1ang_c,V2ang_a,V2ang_b,V2ang_c,I2ang_a,I2ang_b,I2ang_c,f1,f2,P1,P2,Q1,Q2,wall_s,ok
4852,16,48,48,1,1,1,1,1,1,1,1,1,1,1,1,184.8173077,230.0609438,288.4913246,6.740157224,3.071012612,3.752357577,185.8276868,230.3057295,289.1070716,5.96633507,3.247920963,4.081682346,-0.005140578224,-0.0058010492,0.0111934179,0.005309055619,0.005367672342,-0.0104421798,184.8106132,230.0600156,288.4953873,6.73957382,3.070348443,3.751713336,185.8209871,230.3048361,289.1111451,5.965758878,3.247378629,4.081151699,0,-147.1145278,112.8934744,-2.170821852,-157.0547956,116.8692094,0.1369700921,-147.0290864,112.9289499,1.99918872,-137.8419025,109.0933415,49.98488895,49.98489226,3026.399771,3017.145211,-84.30276095,-256.5133819,45.2880813,1
4853,16,48,48,1,1,1,1,1,1,0,1,1,1,1,1,184.6709965,229.1527719,289.3220622,11.03918037,11.20878446,7.322697789,185.413664,227.5217403,291.6326919,4.076262393,9.868552069,11.07914434,1.830716151,-8.608588441,6.778096903,-1.807799416,8.635173172,-6.827146181,184.6632783,229.1513969,289.3228034,10.75479243,6.914589663,1.76354472,185.4034145,227.4996333,291.6145083,3.237796771,4.370813509,8.457998655,0,-146.8932211,112.9832152,12.34540245,174.5690337,-142.8452941,-0.4635260086,-146.7232349,113.1977439,-47.47865247,-67.13400206,101.329392,49.9847562,49.98476087,3051.874128,3044.601286,-84.31368751,-254.348497,8.2852367,1
4854,16,48,48,1,1,1,1,1,1,1,0,1,1,1,1,184.6719079,229.150476,289.3227413,11.0355512,11.21415039,7.320771606,185.416068,227.5222866,291.6358976,4.082990267,9.867941781,11.07785011,-1.833188181,8.610173027,-6.776770931,1.810870223,-8.637731153,6.827082128,184.6642079,229.1490941,289.323505,10.74971206,6.922810067,1.748631245,185.4058302,227.5000861,291.6176337,3.241741907,4.368354623,8.454931289,0,-146.8932789,112.9840296,12.35365679,174.6289785,-142.7219702,-0.4634089182,-146.7228631,113.1983738,-47.41369101,-66.99379355,101.4321214,49.98475908,49.98475764,3052.912609,3043.410529,-84.11192763,-254.6154022,8.1671489,1
4855,16,48,48,1,1,1,1,1,1,1,1,0,1,1,1,185.1882825,230.1890881,288.3690042,6.489270733,5.801022282,8.522273361,187.6295527,230.8886001,287.7189768,10.55899142,3.504930514,8.120415223,5.027926129,1.493569233,-6.521285504,-5.078021143,-1.476049208,6.554282672,185.1809137,230.1865286,288.3719255,3.930773905,5.462125213,5.401190591,187.6110682,230.885631,287.7108736,9.183018151,2.917579741,4.697070481,0,-147.3206213,113.0028109,20.8001643,-119.6327862,76.7003223,0.290434774,-147.5988042,113.1991678,-8.919158297,151.4198336,155.8295987,49.98476824,49.98476948,3050.750462,3041.450232,-92.98648961,-264.3048792,8.0749652,1
4856,16,48,48,1,1,1,1,1,1,1,1,1,0,1,1,185.1854513,230.1838802,288.3720977,6.500862207,5.802660403,8.524325454,187.6270736,230.8820504,287.7285415,10.56109514,3.502321548,8.128849892,-5.029804332,-1.494269553,6.524291484,5.080394363,1.475909825,-6.556094187,185.1780764,230.1813136,288.3750131,3.936726762,5.463150731,5.394464365,187.6085471,230.8791537,287.7204006,9.179585973,2.913065545,4.700008699,0,-147.3188645,113.0030412,20.8553779,-119.6773389,76.68369708,0.2886345817,-147.5967849,113.1992758,-8.959080094,151.4005023,155.7516843,49.98476758,49.98477023,3050.235298,3041.939332,-92.99856507,-264.1961434,8.2310918,1
4857,16,48,48,1,1,1,1,1,1,1,1,1,1,0,1,184.5135936,230.6603382,288.1333688,11.87473053,6.51732781,7.458025644,183.9333466,231.7730491,289.1183311,9.969456866,9.673538454,4.493726634,-7.593525994,6.123518325,1.470233248,7.631814966,-6.16896917,-1.462620647,184.506551,230.6560927,288.1366619,8.994632277,1.741098437,7.170274246,183.9088009,231.7511576,289.1204637,6.223136123,7.319274936,4.000408356,0,-147.0172934,112.6839265,-27.56068761,91.27845872,143.0791881,0.3653433961,-146.5533941,112.3716086,41.43222972,-135.2647409,46.68200026,49.98481009,49.98481379,3041.660597,3033.245235,-94.58795203,-265.6538086,7.5285655,1
4858,16,48,48,1,1,1,1,1,1,1,1,1,1,1,0,184.5144532,230.6450507,288.1462098,11.8502309,6.496617353,7.455645353,183.9423368,231.7612754,289.1266093,9.964107814,9.661085921,4.489635103,7.579176509,-6.105787876,-1.473171495,-7.617002778,6.150279297,1.466949554,184.5073732,230.6408357,288.1495078,8.973127646,1.72774974,7.166434569,183.9178703,231.7394729,289.1287137,6.230510533,7.31826581,3.993385494,0,-147.0139104,112.6880067,-27.55675823,90.89095074,143.02947,0.3659373927,-146.5516407,112.3764126,41.24504146,-135.4007577,46.73418411,49.98481629,49.98480888,3040.953901,3033.650411,-94.2585418,-265.7542795,7.8008256,1
4859,16,48,48,0,1,1,1,1,1,1,1,1,1,1,1,184.3723834,226.9556163,291.1070191,4.45281491,10.13275927,11.10683362,185.9041177,229.0941289,289.8499215,10.81072953,11.28450206,7.691536103,-2.037632267,9.13232026,-7.094473046,2.044041609,-9.068255507,7.024414875,184.3618425,226.9278401,291.0868075,3.514960181,3.82968724,8.139348135,185.8960061,229.0923107,289.8511699,10.46287006,6.366624214,1.774170243,0,-146.0897081,113.6313672,-44.76478165,-71.05849628,100.9015303,0.7504041271,-146.1516214,113.5226713,13.65757627,178.2820612,-154.077067,49.98474888,49.98474838,3055.151289,3045.296987,-73.93540285,-249.8008696,8.5557858,1
4860,16,48,48,0,1,1,1,1,1,0,1,1,1,1,1,201.8857149,396.6151975,333.4555704,8.122369262,12.7017212,13.1984183,203.4415829,397.5890139,334.2015928,10.19589046,14.86824237,14.48054157,-2.590977173,-0.5552839607,3.145522061,-4.131978106,8.235399713,-4.103984962,138.6309246,262.0707269,299.3111849,3.77427501,5.133306232,4.24029237,139.7326333,262.0255335,299.8735981,5.765808534,3.611477808,6.323100518,0,-133.6019365,99.33188574,-3.720243137,-162.7395456,48.7964148,0.2856125017,-133.3873102,99.58613128,2.173217577,-89.87139831,130.4957671,49.98276299,49.96613503,4263.055054,5956.825098,-421.7484859,-587.9784064,7.354976,1
4861,16,48,48,0,1,1,1,1,1,1,0,1,1,1,1,184.7084571,223.2902374,293.6320623,9.493807287,36.68076966,30.56342916,185.9220996,223.5530413,294.1021557,9.455127088,36.58051829,30.55498512,-6.016247069,34.3192416,-28.30286369,5.991665289,-34.25267292,28.26113607,184.5542466,223.1158347,293.4761845,6.351342013,3.212202498,3.830874338,185.7522695,223.3861545,293.9545655,6.33142897,2.83995338,4.126910183,0,-145.4402122,114.4174948,-0.02971993627,-148.6646152,111.4199233,0.1518297057,-145.4004721,114.4772841,-0.3763615145,-141.9587403,117.0663494,49.98324174,49.98324293,3355.582645,3347.006587,-0.6154325266,-174.0218591,7.4323412,1
