run_id,R_a,R_b,R_c,DG1_PWM1,DG1_PWM2,DG1_PWM3,DG1_PWM4,DG1_PWM5,DG1_PWM6,DG2_PWM1,DG2_PWM2,DG2_PWM3,DG2_PWM4,DG2_PWM5,DG2_PWM6,V1_a,V1_b,V1_c,I1_a,I1_b,I1_c,V2_a,V2_b,V2_c,I2_a,I2_b,I2_c
1,64,24,32,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
2,64,24,32,1,1,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,
3,64,24,32,1,1,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,
4,64,24,32,1,1,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,
5,64,24,32,1,1,1,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,
6,64,24,32,1,1,1,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,
7,64,24,32,1,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,
8,64,24,32,0,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
9,64,24,32,0,1,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,
10,64,24,32,0,1,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,
11,64,24,32,0,1,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,
12,64,24,32,0,1,1,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,
13,64,24,32,0,1,1,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,
14,64,24,32,0,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,
15,64,24,32,1,0,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
16,64,24,32,1,0,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,
17,64,24,32,1,0,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,
18,64,24,32,1,0,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,
19,64,24,32,1,0,1,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,
20,64,24,32,1,0,1,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,
21,64,24,32,1,0,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,
22,64,24,32,1,1,0,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
23,64,24,32,1,1,0,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,
24,64,24,32,1,1,0,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,
25,64,24,32,1,1,0,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,
26,64,24,32,1,1,0,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,
27,64,24,32,1,1,0,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,
28,64,24,32,1,1,0,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,
29,64,24,32,1,1,1,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,
30,64,24,32,1,1,1,0,1,1,0,1,1,1,1,1,,,,,,,,,,,,
31,64,24,32,1,1,1,0,1,1,1,0,1,1,1,1,,,,,,,,,,,,
32,64,24,32,1,1,1,0,1,1,1,1,0,1,1,1,,,,,,,,,,,,
33,64,24,32,1,1,1,0,1,1,1,1,1,0,1,1,,,,,,,,,,,,
34,64,24,32,1,1,1,0,1,1,1,1,1,1,0,1,,,,,,,,,,,,
35,64,24,32,1,1,1,0,1,1,1,1,1,1,1,0,,,,,,,,,,,,
36,64,24,32,1,1,1,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,
37,64,24,32,1,1,1,1,0,1,0,1,1,1,1,1,,,,,,,,,,,,
38,64,24,32,1,1,1,1,0,1,1,0,1,1,1,1,,,,,,,,,,,,
39,64,24,32,1,1,1,1,0,1,1,1,0,1,1,1,,,,,,,,,,,,
40,64,24,32,1,1,1,1,0,1,1,1,1,0,1,1,,,,,,,,,,,,
41,64,24,32,1,1,1,1,0,1,1,1,1,1,0,1,,,,,,,,,,,,
42,64,24,32,1,1,1,1,0,1,1,1,1,1,1,0,,,,,,,,,,,,
43,64,24,32,1,1,1,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,
44,64,24,32,1,1,1,1,1,0,0,1,1,1,1,1,,,,,,,,,,,,
45,64,24,32,1,1,1,1,1,0,1,0,1,1,1,1,,,,,,,,,,,,
46,64,24,32,1,1,1,1,1,0,1,1,0,1,1,1,,,,,,,,,,,,
47,64,24,32,1,1,1,1,1,0,1,1,1,0,1,1,,,,,,,,,,,,
48,64,24,32,1,1,1,1,1,0,1,1,1,1,0,1,,,,,,,,,,,,
49,64,24,32,1,1,1,1,1,0,1,1,1,1,1,0,,,,,,,,,,,,
50,16,24,32,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
51,16,24,32,1,1,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,
52,16,24,32,1,1,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,
53,16,24,32,1,1,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,
54,16,24,32,1,1,1,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,
55,16,24,32,1,1,1,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,
56,16,24,32,1,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,
57,16,24,32,0,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
58,16,24,32,0,1,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,
59,16,24,32,0,1,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,
60,16,24,32,0,1,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,
61,16,24,32,0,1,1,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,
62,16,24,32,0,1,1,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,
63,16,24,32,0,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,
64,16,24,32,1,0,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
65,16,24,32,1,0,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,
66,16,24,32,1,0,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,
67,16,24,32,1,0,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,
68,16,24,32,1,0,1,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,
69,16,24,32,1,0,1,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,
70,16,24,32,1,0,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,
71,16,24,32,1,1,0,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
72,16,24,32,1,1,0,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,
73,16,24,32,1,1,0,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,
74,16,24,32,1,1,0,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,
75,16,24,32,1,1,0,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,
76,16,24,32,1,1,0,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,
77,16,24,32,1,1,0,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,
78,16,24,32,1,1,1,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,
79,16,24,32,1,1,1,0,1,1,0,1,1,1,1,1,,,,,,,,,,,,
80,16,24,32,1,1,1,0,1,1,1,0,1,1,1,1,,,,,,,,,,,,
81,16,24,32,1,1,1,0,1,1,1,1,0,1,1,1,,,,,,,,,,,,
82,16,24,32,1,1,1,0,1,1,1,1,1,0,1,1,,,,,,,,,,,,
83,16,24,32,1,1,1,0,1,1,1,1,1,1,0,1,,,,,,,,,,,,
84,16,24,32,1,1,1,0,1,1,1,1,1,1,1,0,,,,,,,,,,,,
85,16,24,32,1,1,1,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,
86,16,24,32,1,1,1,1,0,1,0,1,1,1,1,1,,,,,,,,,,,,
87,16,24,32,1,1,1,1,0,1,1,0,1,1,1,1,,,,,,,,,,,,
88,16,24,32,1,1,1,1,0,1,1,1,0,1,1,1,,,,,,,,,,,,
89,16,24,32,1,1,1,1,0,1,1,1,1,0,1,1,,,,,,,,,,,,
90,16,24,32,1,1,1,1,0,1,1,1,1,1,0,1,,,,,,,,,,,,
91,16,24,32,1,1,1,1,0,1,1,1,1,1,1,0,,,,,,,,,,,,
92,16,24,32,1,1,1,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,
93,16,24,32,1,1,1,1,1,0,0,1,1,1,1,1,,,,,,,,,,,,
94,16,24,32,1,1,1,1,1,0,1,0,1,1,1,1,,,,,,,,,,,,
95,16,24,32,1,1,1,1,1,0,1,1,0,1,1,1,,,,,,,,,,,,
96,16,24,32,1,1,1,1,1,0,1,1,1,0,1,1,,,,,,,,,,,,
97,16,24,32,1,1,1,1,1,0,1,1,1,1,0,1,,,,,,,,,,,,
98,16,24,32,1,1,1,1,1,0,1,1,1,1,1,0,,,,,,,,,,,,
99,32,24,96,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
100,32,24,96,1,1,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,
101,32,24,96,1,1,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,
102,32,24,96,1,1,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,
103,32,24,96,1,1,1,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,
104,32,24,96,1,1,1,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,
105,32,24,96,1,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,
106,32,24,96,0,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
107,32,24,96,0,1,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,
108,32,24,96,0,1,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,
109,32,24,96,0,1,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,
110,32,24,96,0,1,1,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,
111,32,24,96,0,1,1,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,
112,32,24,96,0,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,
113,32,24,96,1,0,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
114,32,24,96,1,0,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,
115,32,24,96,1,0,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,
116,32,24,96,1,0,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,
117,32,24,96,1,0,1,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,
118,32,24,96,1,0,1,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,
119,32,24,96,1,0,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,
120,32,24,96,1,1,0,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
121,32,24,96,1,1,0,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,
122,32,24,96,1,1,0,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,
123,32,24,96,1,1,0,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,
124,32,24,96,1,1,0,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,
125,32,24,96,1,1,0,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,
126,32,24,96,1,1,0,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,
127,32,24,96,1,1,1,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,
128,32,24,96,1,1,1,0,1,1,0,1,1,1,1,1,,,,,,,,,,,,
129,32,24,96,1,1,1,0,1,1,1,0,1,1,1,1,,,,,,,,,,,,
130,32,24,96,1,1,1,0,1,1,1,1,0,1,1,1,,,,,,,,,,,,
131,32,24,96,1,1,1,0,1,1,1,1,1,0,1,1,,,,,,,,,,,,
132,32,24,96,1,1,1,0,1,1,1,1,1,1,0,1,,,,,,,,,,,,
133,32,24,96,1,1,1,0,1,1,1,1,1,1,1,0,,,,,,,,,,,,
134,32,24,96,1,1,1,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,
135,32,24,96,1,1,1,1,0,1,0,1,1,1,1,1,,,,,,,,,,,,
136,32,24,96,1,1,1,1,0,1,1,0,1,1,1,1,,,,,,,,,,,,
137,32,24,96,1,1,1,1,0,1,1,1,0,1,1,1,,,,,,,,,,,,
138,32,24,96,1,1,1,1,0,1,1,1,1,0,1,1,,,,,,,,,,,,
139,32,24,96,1,1,1,1,0,1,1,1,1,1,0,1,,,,,,,,,,,,
140,32,24,96,1,1,1,1,0,1,1,1,1,1,1,0,,,,,,,,,,,,
141,32,24,96,1,1,1,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,
142,32,24,96,1,1,1,1,1,0,0,1,1,1,1,1,,,,,,,,,,,,
143,32,24,96,1,1,1,1,1,0,1,0,1,1,1,1,,,,,,,,,,,,
144,32,24,96,1,1,1,1,1,0,1,1,0,1,1,1,,,,,,,,,,,,
145,32,24,96,1,1,1,1,1,0,1,1,1,0,1,1,,,,,,,,,,,,
146,32,24,96,1,1,1,1,1,0,1,1,1,1,0,1,,,,,,,,,,,,
147,32,24,96,1,1,1,1,1,0,1,1,1,1,1,0,,,,,,,,,,,,
148,96,32,96,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
149,96,32,96,1,1,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,
150,96,32,96,1,1,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,
151,96,32,96,1,1,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,
152,96,32,96,1,1,1,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,
153,96,32,96,1,1,1,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,
154,96,32,96,1,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,
155,96,32,96,0,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
156,96,32,96,0,1,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,
157,96,32,96,0,1,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,
158,96,32,96,0,1,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,
159,96,32,96,0,1,1,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,
160,96,32,96,0,1,1,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,
161,96,32,96,0,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,
162,96,32,96,1,0,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
163,96,32,96,1,0,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,
164,96,32,96,1,0,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,
165,96,32,96,1,0,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,
166,96,32,96,1,0,1,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,
167,96,32,96,1,0,1,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,
168,96,32,96,1,0,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,
169,96,32,96,1,1,0,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
170,96,32,96,1,1,0,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,
171,96,32,96,1,1,0,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,
172,96,32,96,1,1,0,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,
173,96,32,96,1,1,0,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,
174,96,32,96,1,1,0,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,
175,96,32,96,1,1,0,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,
176,96,32,96,1,1,1,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,
177,96,32,96,1,1,1,0,1,1,0,1,1,1,1,1,,,,,,,,,,,,
178,96,32,96,1,1,1,0,1,1,1,0,1,1,1,1,,,,,,,,,,,,
179,96,32,96,1,1,1,0,1,1,1,1,0,1,1,1,,,,,,,,,,,,
180,96,32,96,1,1,1,0,1,1,1,1,1,0,1,1,,,,,,,,,,,,
181,96,32,96,1,1,1,0,1,1,1,1,1,1,0,1,,,,,,,,,,,,
182,96,32,96,1,1,1,0,1,1,1,1,1,1,1,0,,,,,,,,,,,,
183,96,32,96,1,1,1,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,
184,96,32,96,1,1,1,1,0,1,0,1,1,1,1,1,,,,,,,,,,,,
185,96,32,96,1,1,1,1,0,1,1,0,1,1,1,1,,,,,,,,,,,,
186,96,32,96,1,1,1,1,0,1,1,1,0,1,1,1,,,,,,,,,,,,
187,96,32,96,1,1,1,1,0,1,1,1,1,0,1,1,,,,,,,,,,,,
188,96,32,96,1,1,1,1,0,1,1,1,1,1,0,1,,,,,,,,,,,,
189,96,32,96,1,1,1,1,0,1,1,1,1,1,1,0,,,,,,,,,,,,
190,96,32,96,1,1,1,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,
