run_id,R_a,R_b,R_c,DG1_PWM1,DG1_PWM2,DG1_PWM3,DG1_PWM4,DG1_PWM5,DG1_PWM6,DG2_PWM1,DG2_PWM2,DG2_PWM3,DG2_PWM4,DG2_PWM5,DG2_PWM6,V1_a,V1_b,V1_c,I1_a,I1_b,I1_c,V2_a,V2_b,V2_c,I2_a,I2_b,I2_c
4705,24,64,96,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
4706,24,64,96,1,1,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,
4707,24,64,96,1,1,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,
4708,24,64,96,1,1,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,
4709,24,64,96,1,1,1,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,
4710,24,64,96,1,1,1,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,
4711,24,64,96,1,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,
4712,24,64,96,0,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
4713,24,64,96,0,1,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,
4714,24,64,96,0,1,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,
4715,24,64,96,0,1,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,
4716,24,64,96,0,1,1,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,
4717,24,64,96,0,1,1,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,
4718,24,64,96,0,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,
4719,24,64,96,1,0,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
4720,24,64,96,1,0,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,
4721,24,64,96,1,0,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,
4722,24,64,96,1,0,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,
4723,24,64,96,1,0,1,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,
4724,24,64,96,1,0,1,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,
4725,24,64,96,1,0,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,
4726,24,64,96,1,1,0,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
4727,24,64,96,1,1,0,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,
4728,24,64,96,1,1,0,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,
4729,24,64,96,1,1,0,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,
4730,24,64,96,1,1,0,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,
4731,24,64,96,1,1,0,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,
4732,24,64,96,1,1,0,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,
4733,24,64,96,1,1,1,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,
4734,24,64,96,1,1,1,0,1,1,0,1,1,1,1,1,,,,,,,,,,,,
4735,24,64,96,1,1,1,0,1,1,1,0,1,1,1,1,,,,,,,,,,,,
4736,24,64,96,1,1,1,0,1,1,1,1,0,1,1,1,,,,,,,,,,,,
4737,24,64,96,1,1,1,0,1,1,1,1,1,0,1,1,,,,,,,,,,,,
4738,24,64,96,1,1,1,0,1,1,1,1,1,1,0,1,,,,,,,,,,,,
4739,24,64,96,1,1,1,0,1,1,1,1,1,1,1,0,,,,,,,,,,,,
4740,24,64,96,1,1,1,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,
4741,24,64,96,1,1,1,1,0,1,0,1,1,1,1,1,,,,,,,,,,,,
4742,24,64,96,1,1,1,1,0,1,1,0,1,1,1,1,,,,,,,,,,,,
4743,24,64,96,1,1,1,1,0,1,1,1,0,1,1,1,,,,,,,,,,,,
4744,24,64,96,1,1,1,1,0,1,1,1,1,0,1,1,,,,,,,,,,,,
4745,24,64,96,1,1,1,1,0,1,1,1,1,1,0,1,,,,,,,,,,,,
4746,24,64,96,1,1,1,1,0,1,1,1,1,1,1,0,,,,,,,,,,,,
4747,24,64,96,1,1,1,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,
4748,24,64,96,1,1,1,1,1,0,0,1,1,1,1,1,,,,,,,,,,,,
4749,24,64,96,1,1,1,1,1,0,1,0,1,1,1,1,,,,,,,,,,,,
4750,24,64,96,1,1,1,1,1,0,1,1,0,1,1,1,,,,,,,,,,,,
4751,24,64,96,1,1,1,1,1,0,1,1,1,0,1,1,,,,,,,,,,,,
4752,24,64,96,1,1,1,1,1,0,1,1,1,1,0,1,,,,,,,,,,,,
4753,24,64,96,1,1,1,1,1,0,1,1,1,1,1,0,,,,,,,,,,,,
4754,24,64,24,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
4755,24,64,24,1,1,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,
4756,24,64,24,1,1,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,
4757,24,64,24,1,1,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,
4758,24,64,24,1,1,1,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,
4759,24,64,24,1,1,1,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,
4760,24,64,24,1,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,
4761,24,64,24,0,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
4762,24,64,24,0,1,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,
4763,24,64,24,0,1,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,
4764,24,64,24,0,1,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,
4765,24,64,24,0,1,1,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,
4766,24,64,24,0,1,1,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,
4767,24,64,24,0,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,
4768,24,64,24,1,0,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
4769,24,64,24,1,0,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,
4770,24,64,24,1,0,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,
