run_id,R_a,R_b,R_c,DG1_PWM1,DG1_PWM2,DG1_PWM3,DG1_PWM4,DG1_PWM5,DG1_PWM6,DG2_PWM1,DG2_PWM2,DG2_PWM3,DG2_PWM4,DG2_PWM5,DG2_PWM6,V1_a,V1_b,V1_c,I1_a,I1_b,I1_c,V2_a,V2_b,V2_c,I2_a,I2_b,I2_c
1,20,20,20,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
2,20,20,20,1,1,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,
3,20,20,20,1,1,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,
4,20,20,20,1,1,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,
5,20,20,20,1,1,1,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,
6,20,20,20,1,1,1,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,
7,20,20,20,1,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,
8,20,20,20,0,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
9,20,20,20,0,1,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,
10,20,20,20,0,1,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,
11,20,20,20,0,1,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,
12,20,20,20,0,1,1,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,
13,20,20,20,0,1,1,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,
14,20,20,20,0,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,
15,20,20,20,1,0,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
16,20,20,20,1,0,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,
17,20,20,20,1,0,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,
18,20,20,20,1,0,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,
19,20,20,20,1,0,1,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,
20,20,20,20,1,0,1,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,
21,20,20,20,1,0,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,
22,20,20,20,1,1,0,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
23,20,20,20,1,1,0,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,
24,20,20,20,1,1,0,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,
25,20,20,20,1,1,0,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,
26,20,20,20,1,1,0,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,
27,20,20,20,1,1,0,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,
28,20,20,20,1,1,0,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,
29,20,20,20,1,1,1,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,
30,20,20,20,1,1,1,0,1,1,0,1,1,1,1,1,,,,,,,,,,,,
31,20,20,20,1,1,1,0,1,1,1,0,1,1,1,1,,,,,,,,,,,,
32,20,20,20,1,1,1,0,1,1,1,1,0,1,1,1,,,,,,,,,,,,
33,20,20,20,1,1,1,0,1,1,1,1,1,0,1,1,,,,,,,,,,,,
34,20,20,20,1,1,1,0,1,1,1,1,1,1,0,1,,,,,,,,,,,,
35,20,20,20,1,1,1,0,1,1,1,1,1,1,1,0,,,,,,,,,,,,
36,20,20,20,1,1,1,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,
37,20,20,20,1,1,1,1,0,1,0,1,1,1,1,1,,,,,,,,,,,,
38,20,20,20,1,1,1,1,0,1,1,0,1,1,1,1,,,,,,,,,,,,
39,20,20,20,1,1,1,1,0,1,1,1,0,1,1,1,,,,,,,,,,,,
40,20,20,20,1,1,1,1,0,1,1,1,1,0,1,1,,,,,,,,,,,,
41,20,20,20,1,1,1,1,0,1,1,1,1,1,0,1,,,,,,,,,,,,
42,20,20,20,1,1,1,1,0,1,1,1,1,1,1,0,,,,,,,,,,,,
43,20,20,20,1,1,1,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,
44,20,20,20,1,1,1,1,1,0,0,1,1,1,1,1,,,,,,,,,,,,
45,20,20,20,1,1,1,1,1,0,1,0,1,1,1,1,,,,,,,,,,,,
46,20,20,20,1,1,1,1,1,0,1,1,0,1,1,1,,,,,,,,,,,,
47,20,20,20,1,1,1,1,1,0,1,1,1,0,1,1,,,,,,,,,,,,
48,20,20,20,1,1,1,1,1,0,1,1,1,1,0,1,,,,,,,,,,,,
49,20,20,20,1,1,1,1,1,0,1,1,1,1,1,0,,,,,,,,,,,,
50,40,40,40,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
51,40,40,40,1,1,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,
52,40,40,40,1,1,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,
53,40,40,40,1,1,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,
54,40,40,40,1,1,1,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,
55,40,40,40,1,1,1,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,
56,40,40,40,1,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,
57,40,40,40,0,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
58,40,40,40,0,1,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,
59,40,40,40,0,1,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,
60,40,40,40,0,1,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,
61,40,40,40,0,1,1,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,
62,40,40,40,0,1,1,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,
63,40,40,40,0,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,
64,40,40,40,1,0,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
65,40,40,40,1,0,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,
66,40,40,40,1,0,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,
67,40,40,40,1,0,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,
68,40,40,40,1,0,1,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,
69,40,40,40,1,0,1,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,
70,40,40,40,1,0,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,
71,40,40,40,1,1,0,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
72,40,40,40,1,1,0,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,
73,40,40,40,1,1,0,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,
74,40,40,40,1,1,0,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,
75,40,40,40,1,1,0,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,
76,40,40,40,1,1,0,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,
77,40,40,40,1,1,0,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,
78,40,40,40,1,1,1,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,
79,40,40,40,1,1,1,0,1,1,0,1,1,1,1,1,,,,,,,,,,,,
80,40,40,40,1,1,1,0,1,1,1,0,1,1,1,1,,,,,,,,,,,,
81,40,40,40,1,1,1,0,1,1,1,1,0,1,1,1,,,,,,,,,,,,
82,40,40,40,1,1,1,0,1,1,1,1,1,0,1,1,,,,,,,,,,,,
83,40,40,40,1,1,1,0,1,1,1,1,1,1,0,1,,,,,,,,,,,,
84,40,40,40,1,1,1,0,1,1,1,1,1,1,1,0,,,,,,,,,,,,
85,40,40,40,1,1,1,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,
86,40,40,40,1,1,1,1,0,1,0,1,1,1,1,1,,,,,,,,,,,,
87,40,40,40,1,1,1,1,0,1,1,0,1,1,1,1,,,,,,,,,,,,
88,40,40,40,1,1,1,1,0,1,1,1,0,1,1,1,,,,,,,,,,,,
89,40,40,40,1,1,1,1,0,1,1,1,1,0,1,1,,,,,,,,,,,,
90,40,40,40,1,1,1,1,0,1,1,1,1,1,0,1,,,,,,,,,,,,
91,40,40,40,1,1,1,1,0,1,1,1,1,1,1,0,,,,,,,,,,,,
92,40,40,40,1,1,1,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,
93,40,40,40,1,1,1,1,1,0,0,1,1,1,1,1,,,,,,,,,,,,
94,40,40,40,1,1,1,1,1,0,1,0,1,1,1,1,,,,,,,,,,,,
95,40,40,40,1,1,1,1,1,0,1,1,0,1,1,1,,,,,,,,,,,,
96,40,40,40,1,1,1,1,1,0,1,1,1,0,1,1,,,,,,,,,,,,
97,40,40,40,1,1,1,1,1,0,1,1,1,1,0,1,,,,,,,,,,,,
98,40,40,40,1,1,1,1,1,0,1,1,1,1,1,0,,,,,,,,,,,,
99,72,72,72,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
100,72,72,72,1,1,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,
101,72,72,72,1,1,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,
102,72,72,72,1,1,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,
103,72,72,72,1,1,1,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,
104,72,72,72,1,1,1,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,
105,72,72,72,1,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,
106,72,72,72,0,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
107,72,72,72,0,1,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,
108,72,72,72,0,1,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,
109,72,72,72,0,1,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,
110,72,72,72,0,1,1,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,
111,72,72,72,0,1,1,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,
112,72,72,72,0,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,
113,72,72,72,1,0,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
114,72,72,72,1,0,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,
115,72,72,72,1,0,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,
116,72,72,72,1,0,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,
117,72,72,72,1,0,1,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,
118,72,72,72,1,0,1,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,
119,72,72,72,1,0,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,
120,72,72,72,1,1,0,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
121,72,72,72,1,1,0,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,
122,72,72,72,1,1,0,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,
123,72,72,72,1,1,0,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,
124,72,72,72,1,1,0,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,
125,72,72,72,1,1,0,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,
126,72,72,72,1,1,0,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,
127,72,72,72,1,1,1,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,
128,72,72,72,1,1,1,0,1,1,0,1,1,1,1,1,,,,,,,,,,,,
129,72,72,72,1,1,1,0,1,1,1,0,1,1,1,1,,,,,,,,,,,,
130,72,72,72,1,1,1,0,1,1,1,1,0,1,1,1,,,,,,,,,,,,
131,72,72,72,1,1,1,0,1,1,1,1,1,0,1,1,,,,,,,,,,,,
132,72,72,72,1,1,1,0,1,1,1,1,1,1,0,1,,,,,,,,,,,,
133,72,72,72,1,1,1,0,1,1,1,1,1,1,1,0,,,,,,,,,,,,
134,72,72,72,1,1,1,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,
135,72,72,72,1,1,1,1,0,1,0,1,1,1,1,1,,,,,,,,,,,,
136,72,72,72,1,1,1,1,0,1,1,0,1,1,1,1,,,,,,,,,,,,
137,72,72,72,1,1,1,1,0,1,1,1,0,1,1,1,,,,,,,,,,,,
138,72,72,72,1,1,1,1,0,1,1,1,1,0,1,1,,,,,,,,,,,,
139,72,72,72,1,1,1,1,0,1,1,1,1,1,0,1,,,,,,,,,,,,
140,72,72,72,1,1,1,1,0,1,1,1,1,1,1,0,,,,,,,,,,,,
141,72,72,72,1,1,1,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,
142,72,72,72,1,1,1,1,1,0,0,1,1,1,1,1,,,,,,,,,,,,
143,72,72,72,1,1,1,1,1,0,1,0,1,1,1,1,,,,,,,,,,,,
144,72,72,72,1,1,1,1,1,0,1,1,0,1,1,1,,,,,,,,,,,,
145,72,72,72,1,1,1,1,1,0,1,1,1,0,1,1,,,,,,,,,,,,
146,72,72,72,1,1,1,1,1,0,1,1,1,1,0,1,,,,,,,,,,,,
147,72,72,72,1,1,1,1,1,0,1,1,1,1,1,0,,,,,,,,,,,,
148,20,32,32,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
149,20,32,32,1,1,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,
150,20,32,32,1,1,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,
151,20,32,32,1,1,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,
152,20,32,32,1,1,1,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,
153,20,32,32,1,1,1,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,
154,20,32,32,1,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,
155,20,32,32,0,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
156,20,32,32,0,1,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,
157,20,32,32,0,1,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,
158,20,32,32,0,1,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,
159,20,32,32,0,1,1,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,
160,20,32,32,0,1,1,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,
161,20,32,32,0,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,
162,20,32,32,1,0,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
163,20,32,32,1,0,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,
164,20,32,32,1,0,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,
165,20,32,32,1,0,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,
166,20,32,32,1,0,1,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,
167,20,32,32,1,0,1,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,
168,20,32,32,1,0,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,
169,20,32,32,1,1,0,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
170,20,32,32,1,1,0,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,
171,20,32,32,1,1,0,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,
172,20,32,32,1,1,0,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,
173,20,32,32,1,1,0,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,
174,20,32,32,1,1,0,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,
175,20,32,32,1,1,0,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,
176,20,32,32,1,1,1,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,
177,20,32,32,1,1,1,0,1,1,0,1,1,1,1,1,,,,,,,,,,,,
178,20,32,32,1,1,1,0,1,1,1,0,1,1,1,1,,,,,,,,,,,,
179,20,32,32,1,1,1,0,1,1,1,1,0,1,1,1,,,,,,,,,,,,
